"Agency","Homicides"
"American Fork/Cedar Hills PD","1"
"Bountiful PD","1"
"Carbon County Sheriff","1"
"Cedar City PD","1"
"Cottonwood Heights PD","1"
"Draper PD","2"
"Helper PD","1"
"Murray PD","2"
"Ogden PD","3"
"Orem DPS","2"
"Payson PD","2"
"Price PD","1"
"Roy PD","1"
"Salt Lake City PD","6"
"Sandy PD","2"
"South Salt Lake PD","2"
"St. George PD","1"
"Syracuse PD","1"
"Unified PD of Greater Salt Lake","6"
"Washington City PD","1"
"Washington County Sheriff","2"
"West Jordan PD","2"
