"Sex of Victim","Race of Victim","Number","% of Total Victims"
"Male","White","22","51.16%"
"Male","Black","2","4.65%"
"Male","American Indian or Alaskan Native","2","4.65%"
"Male","Asian or Pacific Islander","0","0.00%"
"Male","Unknown","0","0.00%"
"Female",White","17","39.53%"
"Female","Black","0","0.00%"
"Female","American Indian or Alaskan Native","0","0.00%"
"Female","Asian or Pacific Islander","0","0.00%"
"Female","Unknown","0","0.00%"
