"Victim","Number","% of Total Relationships"
"Wife","3","6.00%"
"Stepfather","2","4.00%"
"Brother","1","2.00%"
"Daughter","1","2.00%"
"Grandmother","1","2.00%"
"Mother","1","2.00%"
"Son","1","2.00%"
"Stepson","1","2.00%"
"Acquaintance","13","26.00%"
"Stranger","11","22.00%"
"Girlfriend","6","12.00%"
"Babysittee (Baby/Child)","1","2.00%"
"Boyfriend","1","2.00%"
"Friend","1","2.00%"
"Officer Killed In Line Of Duty","1","2.00%"
"Otherwise Known","1","2.00%"
"Unknown","4","8.00%"
